cultivar,well,target,content,sample,cultivar_code,stage,bio_rep,cq,set_point
gmp,A01,CmACS,Unkn,G.15.A,G,15,A,34.814225,55.3
gmp,A02,CmACS,Unkn,G.30.B,G,30,B,25.154044,55.3
gmp,A03,CmACS,Unkn,G.M.C,G,M,C,24.560868,55.3
gmp,A04,CmACO,Unkn,G.30.A,G,30,A,22.025785,55.3
gmp,A05,CmACO,Unkn,G.M.B,G,M,B,21.305852,55.3
gmp,A06,CmATH,Unkn,G.15.C,G,15,C,30.194399,55.3
gmp,A07,CmATH,Unkn,G.M.A,G,M,A,26.523461,55.3
gmp,A08,CmEREBP,Unkn,G.15.B,G,15,B,25.625006,55.3
gmp,A09,CmEREBP,Unkn,G.30.C,G,30,C,21.141514,55.3
gmp,A10,CmCYP,Unkn,G.15.A,G,15,A,23.32296,55.3
gmp,A11,CmCYP,Unkn,G.30.B,G,30,B,22.21041,55.3
gmp,A12,CmCYP,Unkn,G.M.C,G,M,C,22.684146,55.3
gmp,B01,CmACS,Unkn,G.15.A,G,15,A,34.522334,55.3
gmp,B02,CmACS,Unkn,G.30.B,G,30,B,25.06923,55.3
gmp,B03,CmACS,Unkn,G.M.C,G,M,C,24.570675,55.3
gmp,B04,CmACO,Unkn,G.30.A,G,30,A,21.94755,55.3
gmp,B05,CmACO,Unkn,G.M.B,G,M,B,21.408865,55.3
gmp,B06,CmATH,Unkn,G.15.C,G,15,C,30.228934,55.3
gmp,B07,CmATH,Unkn,G.M.A,G,M,A,26.364183,55.3
gmp,B08,CmEREBP,Unkn,G.15.B,G,15,B,25.490479,55.3
gmp,B09,CmEREBP,Unkn,G.30.C,G,30,C,21.271417,55.3
gmp,B10,CmCYP,Unkn,G.15.A,G,15,A,23.04049,55.3
gmp,B11,CmCYP,Unkn,G.30.B,G,30,B,21.877604,55.3
gmp,B12,CmCYP,Unkn,G.M.C,G,M,C,22.875191,55.3
gmp,C01,CmACS,Unkn,G.15.B,G,15,B,36.456311,55.3
gmp,C02,CmACS,Unkn,G.30.C,G,30,C,27.772898,55.3
gmp,C03,CmACO,Unkn,G.15.A,G,15,A,25.845557,55.3
gmp,C04,CmACO,Unkn,G.30.B,G,30,B,23.11157,55.3
gmp,C05,CmACO,Unkn,G.M.C,G,M,C,22.244328,55.3
gmp,C06,CmATH,Unkn,G.30.A,G,30,A,25.210594,55.3
gmp,C07,CmATH,Unkn,G.M.B,G,M,B,25.293508,55.3
gmp,C08,CmEREBP,Unkn,G.15.C,G,15,C,25.79264,55.3
gmp,C09,CmEREBP,Unkn,G.M.A,G,M,A,20.202855,55.3
gmp,C10,CmCYP,Unkn,G.15.B,G,15,B,24.319848,55.3
gmp,C11,CmCYP,Unkn,G.30.C,G,30,C,21.595644,55.3
gmp,C12,CmACS,NTC,NA,NA,NA,NA,NA,55.3
gmp,D01,CmACS,Unkn,G.15.B,G,15,B,37.430067,55.3
gmp,D02,CmACS,Unkn,G.30.C,G,30,C,27.700458,55.3
gmp,D03,CmACO,Unkn,G.15.A,G,15,A,25.866908,55.3
gmp,D04,CmACO,Unkn,G.30.B,G,30,B,23.23801,55.3
gmp,D05,CmACO,Unkn,G.M.C,G,M,C,22.352915,55.3
gmp,D06,CmATH,Unkn,G.30.A,G,30,A,25.450591,55.3
gmp,D07,CmATH,Unkn,G.M.B,G,M,B,25.483726,55.3
gmp,D08,CmEREBP,Unkn,G.15.C,G,15,C,25.704553,55.3
gmp,D09,CmEREBP,Unkn,G.M.A,G,M,A,20.106108,55.3
gmp,D10,CmCYP,Unkn,G.15.B,G,15,B,24.389063,55.3
gmp,D11,CmCYP,Unkn,G.30.C,G,30,C,21.586682,55.3
gmp,D12,CmACO,NTC,NA,NA,NA,NA,NA,55.3
gmp,E01,CmACS,Unkn,G.15.C,G,15,C,34.26788,55.3
gmp,E02,CmACS,Unkn,G.M.A,G,M,A,23.777695,55.3
gmp,E03,CmACO,Unkn,G.15.B,G,15,B,27.166439,55.3
gmp,E04,CmACO,Unkn,G.30.C,G,30,C,21.225797,55.3
gmp,E05,CmATH,Unkn,G.15.A,G,15,A,29.165639,55.3
gmp,E06,CmATH,Unkn,G.30.B,G,30,B,26.592156,55.3
gmp,E07,CmATH,Unkn,G.M.C,G,M,C,25.962322,55.3
gmp,E08,CmEREBP,Unkn,G.30.A,G,30,A,21.868325,55.3
gmp,E09,CmEREBP,Unkn,G.M.B,G,M,B,20.407471,55.3
gmp,E10,CmCYP,Unkn,G.15.C,G,15,C,23.145629,55.3
gmp,E11,CmCYP,Unkn,G.M.A,G,M,A,22.149028,55.3
gmp,E12,CmATH,NTC,NA,NA,NA,NA,NA,55.3
gmp,F01,CmACS,Unkn,G.15.C,G,15,C,34.922179,55.3
gmp,F02,CmACS,Unkn,G.M.A,G,M,A,23.829422,55.3
gmp,F03,CmACO,Unkn,G.15.B,G,15,B,27.159045,55.3
gmp,F04,CmACO,Unkn,G.30.C,G,30,C,21.202303,55.3
gmp,F05,CmATH,Unkn,G.15.A,G,15,A,29.265374,55.3
gmp,F06,CmATH,Unkn,G.30.B,G,30,B,26.6369,55.3
gmp,F07,CmATH,Unkn,G.M.C,G,M,C,26.058535,55.3
gmp,F08,CmEREBP,Unkn,G.30.A,G,30,A,21.671173,55.3
gmp,F09,CmEREBP,Unkn,G.M.B,G,M,B,20.342996,55.3
gmp,F10,CmCYP,Unkn,G.15.C,G,15,C,22.687989,55.3
gmp,F11,CmCYP,Unkn,G.M.A,G,M,A,22.086127,55.3
gmp,F12,CmATH,NTC,NA,NA,NA,NA,NA,55.3
gmp,G01,CmACS,Unkn,G.30.A,G,30,A,24.89239,55.3
gmp,G02,CmACS,Unkn,G.M.B,G,M,B,25.064079,55.3
gmp,G03,CmACO,Unkn,G.15.C,G,15,C,26.079976,55.3
gmp,G04,CmACO,Unkn,G.M.A,G,M,A,21.915457,55.3
gmp,G05,CmATH,Unkn,G.15.B,G,15,B,30.142792,55.3
gmp,G06,CmATH,Unkn,G.30.C,G,30,C,24.641842,55.3
gmp,G07,CmEREBP,Unkn,G.15.A,G,15,A,25.67125,55.3
gmp,G08,CmEREBP,Unkn,G.30.B,G,30,B,21.748519,55.3
gmp,G09,CmEREBP,Unkn,G.M.C,G,M,C,20.161813,55.3
gmp,G10,CmCYP,Unkn,G.30.A,G,30,A,21.168894,55.3
gmp,G11,CmCYP,Unkn,G.M.B,G,M,B,22.452939,55.3
gmp,G12,CmEREBP,NTC,NA,NA,NA,NA,NA,55.3
gmp,H01,CmACS,Unkn,G.30.A,G,30,A,24.822338,55.3
gmp,H02,CmACS,Unkn,G.M.B,G,M,B,25.077688,55.3
gmp,H03,CmACO,Unkn,G.15.C,G,15,C,26.22743,55.3
gmp,H04,CmACO,Unkn,G.M.A,G,M,A,22.267667,55.3
gmp,H05,CmATH,Unkn,G.15.B,G,15,B,30.14306,55.3
gmp,H06,CmATH,Unkn,G.30.C,G,30,C,24.586958,55.3
gmp,H07,CmEREBP,Unkn,G.15.A,G,15,A,25.471297,55.3
gmp,H08,CmEREBP,Unkn,G.30.B,G,30,B,21.597232,55.3
gmp,H09,CmEREBP,Unkn,G.M.C,G,M,C,20.336369,55.3
gmp,H10,CmCYP,Unkn,G.30.A,G,30,A,20.98995,55.3
gmp,H11,CmCYP,Unkn,G.M.B,G,M,B,22.283718,55.3
gmp,H12,CmCYP,NTC,NA,NA,NA,NA,NA,55.3
kinaya,A01,CmACS,Unkn,K.15.A,K,15,A,26.284798,55.3
kinaya,A02,CmACS,Unkn,K.30.B,K,30,B,26.359355,55.3
kinaya,A03,CmACS,Unkn,K.M.C,K,M,C,26.849608,55.3
kinaya,A04,CmACO,Unkn,K.30.A,K,30,A,21.092241,55.3
kinaya,A05,CmACO,Unkn,K.M.B,K,M,B,27.598805,55.3
kinaya,A06,CmATH,Unkn,K.15.C,K,15,C,29.771659,55.3
kinaya,A07,CmATH,Unkn,K.M.A,K,M,A,28.318455,55.3
kinaya,A08,CmEREBP,Unkn,K.15.B,K,15,B,23.323905,55.3
kinaya,A09,CmEREBP,Unkn,K.30.C,K,30,C,20.302876,55.3
kinaya,A10,CmCYP,Unkn,K.15.A,K,15,A,20.084215,55.3
kinaya,A11,CmCYP,Unkn,K.30.B,K,30,B,22.674593,55.3
kinaya,A12,CmCYP,Unkn,K.M.C,K,M,C,22.862727,55.3
kinaya,B01,CmACS,Unkn,K.15.A,K,15,A,26.799265,55.3
kinaya,B02,CmACS,Unkn,K.30.B,K,30,B,26.554812,55.3
kinaya,B03,CmACS,Unkn,K.M.C,K,M,C,26.577294,55.3
kinaya,B04,CmACO,Unkn,K.30.A,K,30,A,21.38813,55.3
kinaya,B05,CmACO,Unkn,K.M.B,K,M,B,27.481822,55.3
kinaya,B06,CmATH,Unkn,K.15.C,K,15,C,29.668355,55.3
kinaya,B07,CmATH,Unkn,K.M.A,K,M,A,27.94932,55.3
kinaya,B08,CmEREBP,Unkn,K.15.B,K,15,B,23.106464,55.3
kinaya,B09,CmEREBP,Unkn,K.30.C,K,30,C,20.470731,55.3
kinaya,B10,CmCYP,Unkn,K.15.A,K,15,A,20.294729,55.3
kinaya,B11,CmCYP,Unkn,K.30.B,K,30,B,22.325036,55.3
kinaya,B12,CmCYP,Unkn,K.M.C,K,M,C,22.775587,55.3
kinaya,C01,CmACS,Unkn,K.15.B,K,15,B,26.585105,55.3
kinaya,C02,CmACS,Unkn,K.30.C,K,30,C,25.695272,55.3
kinaya,C03,CmACO,Unkn,K.15.A,K,15,A,24.469296,55.3
kinaya,C04,CmACO,Unkn,K.30.B,K,30,B,25.103654,55.3
kinaya,C05,CmACO,Unkn,K.M.C,K,M,C,26.64607,55.3
kinaya,C06,CmATH,Unkn,K.30.A,K,30,A,25.254408,55.3
kinaya,C07,CmATH,Unkn,K.M.B,K,M,B,27.21383,55.3
kinaya,C08,CmEREBP,Unkn,K.15.C,K,15,C,22.805664,55.3
kinaya,C09,CmEREBP,Unkn,K.M.A,K,M,A,21.276936,55.3
kinaya,C10,CmCYP,Unkn,K.15.B,K,15,B,20.566313,55.3
kinaya,C11,CmCYP,Unkn,K.30.C,K,30,C,20.189386,55.3
kinaya,C12,CmACS,NTC,NA,NA,NA,NA,NA,55.3
kinaya,D01,CmACS,Unkn,K.15.B,K,15,B,26.733736,55.3
kinaya,D02,CmACS,Unkn,K.30.C,K,30,C,25.652423,55.3
kinaya,D03,CmACO,Unkn,K.15.A,K,15,A,24.461857,55.3
kinaya,D04,CmACO,Unkn,K.30.B,K,30,B,24.983924,55.3
kinaya,D05,CmACO,Unkn,K.M.C,K,M,C,26.882656,55.3
kinaya,D06,CmATH,Unkn,K.30.A,K,30,A,25.214302,55.3
kinaya,D07,CmATH,Unkn,K.M.B,K,M,B,27.608414,55.3
kinaya,D08,CmEREBP,Unkn,K.15.C,K,15,C,22.888824,55.3
kinaya,D09,CmEREBP,Unkn,K.M.A,K,M,A,21.535033,55.3
kinaya,D10,CmCYP,Unkn,K.15.B,K,15,B,20.419463,55.3
kinaya,D11,CmCYP,Unkn,K.30.C,K,30,C,20.082604,55.3
kinaya,D12,CmACO,NTC,NA,NA,NA,NA,NA,55.3
kinaya,E01,CmACS,Unkn,K.15.C,K,15,C,26.788175,55.3
kinaya,E02,CmACS,Unkn,K.M.A,K,M,A,26.647605,55.3
kinaya,E03,CmACO,Unkn,K.15.B,K,15,B,25.530112,55.3
kinaya,E04,CmACO,Unkn,K.30.C,K,30,C,21.53,55.3
kinaya,E05,CmATH,Unkn,K.15.A,K,15,A,27.465961,55.3
kinaya,E06,CmATH,Unkn,K.30.B,K,30,B,29.289314,55.3
kinaya,E07,CmATH,Unkn,K.M.C,K,M,C,25.938792,55.3
kinaya,E08,CmEREBP,Unkn,K.30.A,K,30,A,22.182838,55.3
kinaya,E09,CmEREBP,Unkn,K.M.B,K,M,B,23.424242,55.3
kinaya,E10,CmCYP,Unkn,K.15.C,K,15,C,20.366699,55.3
kinaya,E11,CmCYP,Unkn,K.M.A,K,M,A,21.297205,55.3
kinaya,E12,CmATH,NTC,NA,NA,NA,NA,NA,55.3
kinaya,F01,CmACS,Unkn,K.15.C,K,15,C,26.788175,55.3
kinaya,F02,CmACS,Unkn,K.M.A,K,M,A,26.647605,55.3
kinaya,F03,CmACO,Unkn,K.15.B,K,15,B,25.398463,55.3
kinaya,F04,CmACO,Unkn,K.30.C,K,30,C,21.447832,55.3
kinaya,F05,CmATH,Unkn,K.15.A,K,15,A,27.190287,55.3
kinaya,F06,CmATH,Unkn,K.30.B,K,30,B,29.000868,55.3
kinaya,F07,CmATH,Unkn,K.M.C,K,M,C,26.039156,55.3
kinaya,F08,CmEREBP,Unkn,K.30.A,K,30,A,22.204605,55.3
kinaya,F09,CmEREBP,Unkn,K.M.B,K,M,B,23.634744,55.3
kinaya,F10,CmCYP,Unkn,K.15.C,K,15,C,20.415556,55.3
kinaya,F11,CmCYP,Unkn,K.M.A,K,M,A,21.367691,55.3
kinaya,F12,CmEREBP,NTC,NA,NA,NA,NA,NA,55.3
kinaya,G01,CmACS,Unkn,K.30.A,K,30,A,26.868585,55.3
kinaya,G02,CmACS,Unkn,K.M.B,K,M,B,26.857482,55.3
kinaya,G03,CmACO,Unkn,K.15.C,K,15,C,25.156153,55.3
kinaya,G04,CmACO,Unkn,K.M.A,K,M,A,26.122777,55.3
kinaya,G05,CmATH,Unkn,K.15.B,K,15,B,27.316365,55.3
kinaya,G06,CmATH,Unkn,K.30.C,K,30,C,25.653598,55.3
kinaya,G07,CmEREBP,Unkn,K.15.A,K,15,A,22.795718,55.3
kinaya,G08,CmEREBP,Unkn,K.30.B,K,30,B,22.944126,55.3
kinaya,G09,CmEREBP,Unkn,K.M.C,K,M,C,22.649865,55.3
kinaya,G10,CmCYP,Unkn,K.30.A,K,30,A,19.336511,55.3
kinaya,G11,CmCYP,Unkn,K.M.B,K,M,B,23.045954,55.3
kinaya,G12,CmCYP,NTC,NA,NA,NA,NA,NA,55.3
kinaya,H01,CmACS,Unkn,K.30.A,K,30,A,27.2567,55.3
kinaya,H02,CmACS,Unkn,K.M.B,K,M,B,26.715566,55.3
kinaya,H03,CmACO,Unkn,K.15.C,K,15,C,25.197592,55.3
kinaya,H04,CmACO,Unkn,K.M.A,K,M,A,26.083656,55.3
kinaya,H05,CmATH,Unkn,K.15.B,K,15,B,27.290447,55.3
kinaya,H06,CmATH,Unkn,K.30.C,K,30,C,26.156184,55.3
kinaya,H07,CmEREBP,Unkn,K.15.A,K,15,A,22.804913,55.3
kinaya,H08,CmEREBP,Unkn,K.30.B,K,30,B,22.85219,55.3
kinaya,H09,CmEREBP,Unkn,K.M.C,K,M,C,22.574528,55.3
kinaya,H10,CmCYP,Unkn,K.30.A,K,30,A,19.560569,55.3
kinaya,H11,CmCYP,Unkn,K.M.B,K,M,B,23.08815,55.3
kinaya,H12,CmCYP,NTC,NA,NA,NA,NA,NA,55.3
melona,A01,CmACS,Unkn,M.15.A,M,15,A,36.188607,55.3
melona,A02,CmACS,Unkn,M.30.B,M,30,B,29.16487,55.3
