cultivar,well,target,content,sample,cultivar_code,stage,bio_rep,cq,set_point
melona,A03,CmACS,Unkn,M.M.C,M,M,C,21.338682,55.3
melona,A04,CmACO,Unkn,M.30.A,M,30,A,23.111368,55.3
melona,A05,CmACO,Unkn,M.M.B,M,M,B,17.918668,55.3
melona,A06,CmATH,Unkn,M.15.C,M,15,C,29.551251,55.3
melona,A07,CmATH,Unkn,M.M.A,M,M,A,23.566601,55.3
melona,A08,CmEREBP,Unkn,M.15.B,M,15,B,25.880769,55.3
melona,A09,CmEREBP,Unkn,M.30.C,M,30,C,22.161813,55.3
melona,A10,CmCYP,Unkn,M.15.A,M,15,A,22.581962,55.3
melona,A11,CmCYP,Unkn,M.30.B,M,30,B,19.933281,55.3
melona,A12,CmCYP,Unkn,M.M.C,M,M,C,21.801443,55.3
melona,B01,CmACS,Unkn,M.15.A,M,15,A,36.188607,55.3
melona,B02,CmACS,Unkn,M.30.B,M,30,B,29.267489,55.3
melona,B03,CmACS,Unkn,M.M.C,M,M,C,21.384378,55.3
melona,B04,CmACO,Unkn,M.30.A,M,30,A,22.869076,55.3
melona,B05,CmACO,Unkn,M.M.B,M,M,B,18.032334,55.3
melona,B06,CmATH,Unkn,M.15.C,M,15,C,29.204327,55.3
melona,B07,CmATH,Unkn,M.M.A,M,M,A,23.62199,55.3
melona,B08,CmEREBP,Unkn,M.15.B,M,15,B,26.087869,55.3
melona,B09,CmEREBP,Unkn,M.30.C,M,30,C,22.322092,55.3
melona,B10,CmCYP,Unkn,M.15.A,M,15,A,22.814787,55.3
melona,B11,CmCYP,Unkn,M.30.B,M,30,B,20.115913,55.3
melona,B12,CmCYP,Unkn,M.M.C,M,M,C,21.898673,55.3
melona,C01,CmACS,Unkn,M.15.B,M,15,B,36.398421,55.3
melona,C02,CmACS,Unkn,M.30.C,M,30,C,28.468984,55.3
melona,C03,CmACO,Unkn,M.15.A,M,15,A,27.047318,55.3
melona,C04,CmACO,Unkn,M.30.B,M,30,B,21.630313,55.3
melona,C05,CmACO,Unkn,M.M.C,M,M,C,22.01115,55.3
melona,C06,CmATH,Unkn,M.30.A,M,30,A,24.901993,55.3
melona,C07,CmATH,Unkn,M.M.B,M,M,B,23.480255,55.3
melona,C08,CmEREBP,Unkn,M.15.C,M,15,C,28.21838,55.3
melona,C09,CmEREBP,Unkn,M.M.A,M,M,A,20.896515,55.3
melona,C10,CmCYP,Unkn,M.15.B,M,15,B,22.347533,55.3
melona,C11,CmCYP,Unkn,M.30.C,M,30,C,19.83026,55.3
melona,C12,CmACS,NTC,NA,NA,NA,NA,NA,55.3
melona,D01,CmACS,Unkn,M.15.B,M,15,B,36.398421,55.3
melona,D02,CmACS,Unkn,M.30.C,M,30,C,28.241867,55.3
melona,D03,CmACO,Unkn,M.15.A,M,15,A,26.601961,55.3
melona,D04,CmACO,Unkn,M.30.B,M,30,B,21.178602,55.3
melona,D05,CmACO,Unkn,M.M.C,M,M,C,21.087428,55.3
melona,D06,CmATH,Unkn,M.30.A,M,30,A,24.769057,55.3
melona,D07,CmATH,Unkn,M.M.B,M,M,B,23.535457,55.3
melona,D08,CmEREBP,Unkn,M.15.C,M,15,C,22.15427,55.3
melona,D09,CmEREBP,Unkn,M.M.A,M,M,A,20.647244,55.3
melona,D10,CmCYP,Unkn,M.15.B,M,15,B,22.362838,55.3
melona,D11,CmCYP,Unkn,M.30.C,M,30,C,19.873676,55.3
melona,D12,CmACO,NTC,NA,NA,NA,NA,NA,55.3
melona,E01,CmACS,Unkn,M.15.C,M,15,C,36.205243,55.3
melona,E02,CmACS,Unkn,M.M.A,M,M,A,22.52528,55.3
melona,E03,CmACO,Unkn,M.15.B,M,15,B,25.604396,55.3
melona,E04,CmACO,Unkn,M.30.C,M,30,C,21.403559,55.3
melona,E05,CmATH,Unkn,M.15.A,M,15,A,26.672924,55.3
melona,E06,CmATH,Unkn,M.30.B,M,30,B,23.882706,55.3
melona,E07,CmATH,Unkn,M.M.C,M,M,C,24.463254,55.3
melona,E08,CmEREBP,Unkn,M.30.A,M,30,A,22.267248,55.3
melona,E09,CmEREBP,Unkn,M.M.B,M,M,B,20.968796,55.3
melona,E10,CmCYP,Unkn,M.15.C,M,15,C,21.982023,55.3
melona,E11,CmCYP,Unkn,M.M.A,M,M,A,19.334636,55.3
melona,E12,CmATH,NTC,NA,NA,NA,NA,NA,55.3
melona,F01,CmACS,Unkn,M.15.C,M,15,C,36.205243,55.3
melona,F02,CmACS,Unkn,M.M.A,M,M,A,22.529848,55.3
melona,F03,CmACO,Unkn,M.15.B,M,15,B,25.884825,55.3
melona,F04,CmACO,Unkn,M.30.C,M,30,C,21.393789,55.3
melona,F05,CmATH,Unkn,M.15.A,M,15,A,26.825461,55.3
melona,F06,CmATH,Unkn,M.30.B,M,30,B,24.224064,55.3
melona,F07,CmATH,Unkn,M.M.C,M,M,C,24.707113,55.3
melona,F08,CmEREBP,Unkn,M.30.A,M,30,A,21.309498,55.3
melona,F09,CmEREBP,Unkn,M.M.B,M,M,B,20.839349,55.3
melona,F10,CmCYP,Unkn,M.15.C,M,15,C,22.010886,55.3
melona,F11,CmCYP,Unkn,M.M.A,M,M,A,19.806852,55.3
melona,F12,CmEREBP,NTC,NA,NA,NA,NA,NA,55.3
melona,G01,CmACS,Unkn,M.30.A,M,30,A,28.661814,55.3
melona,G02,CmACS,Unkn,M.M.B,M,M,B,19.874235,55.3
melona,G03,CmACO,Unkn,M.15.C,M,15,C,29.353852,55.3
melona,G04,CmACO,Unkn,M.M.A,M,M,A,19.795904,55.3
melona,G05,CmATH,Unkn,M.15.B,M,15,B,28.657688,55.3
melona,G06,CmATH,Unkn,M.30.C,M,30,C,23.969821,55.3
melona,G07,CmEREBP,Unkn,M.15.A,M,15,A,25.364016,55.3
melona,G08,CmEREBP,Unkn,M.30.B,M,30,B,21.57383,55.3
melona,G09,CmEREBP,Unkn,M.M.C,M,M,C,21.389927,55.3
melona,G10,CmCYP,Unkn,M.30.A,M,30,A,20.143905,55.3
melona,G11,CmCYP,Unkn,M.M.B,M,M,B,20.091253,55.3
melona,G12,CmCYP,NTC,NA,NA,NA,NA,NA,55.3
melona,H01,CmACS,Unkn,M.30.A,M,30,A,28.652791,55.3
melona,H02,CmACS,Unkn,M.M.B,M,M,B,19.630734,55.3
melona,H03,CmACO,Unkn,M.15.C,M,15,C,28.853692,55.3
melona,H04,CmACO,Unkn,M.M.A,M,M,A,19.47762,55.3
melona,H05,CmATH,Unkn,M.15.B,M,15,B,29.583888,55.3
melona,H06,CmATH,Unkn,M.30.C,M,30,C,24.158375,55.3
melona,H07,CmEREBP,Unkn,M.15.A,M,15,A,25.357212,55.3
melona,H08,CmEREBP,Unkn,M.30.B,M,30,B,21.594264,55.3
melona,H09,CmEREBP,Unkn,M.M.C,M,M,C,21.455761,55.3
melona,H10,CmCYP,Unkn,M.30.A,M,30,A,20.192206,55.3
melona,H11,CmCYP,Unkn,M.M.B,M,M,B,20.036973,55.3
melona,H12,CmCYP,NTC,NA,NA,NA,NA,NA,55.3
tacapa,A01,CmACS,Unkn,T.15.A,T,15,A,30.288705,55.3
tacapa,A02,CmACS,Unkn,T.30.B,T,30,B,30.577892,55.3
tacapa,A03,CmACS,Unkn,T.M.C,T,M,C,28.304674,55.3
tacapa,A04,CmACO,Unkn,T.30.A,T,30,A,25.844847,55.3
tacapa,A05,CmACO,Unkn,T.M.B,T,M,B,25.054471,55.3
tacapa,A06,CmATH,Unkn,T.15.C,T,15,C,23.478672,55.3
tacapa,A07,CmATH,Unkn,T.M.A,T,M,A,26.667451,55.3
tacapa,A08,CmEREBP,Unkn,T.15.B,T,15,B,24.878024,55.3
tacapa,A09,CmEREBP,Unkn,T.30.C,T,30,C,25.715714,55.3
tacapa,A10,CmCYP,Unkn,T.15.A,T,15,A,22.609705,55.3
tacapa,A11,CmCYP,Unkn,T.30.B,T,30,B,24.365624,55.3
tacapa,A12,CmCYP,Unkn,T.M.C,T,M,C,22.75278,55.3
tacapa,B01,CmACS,Unkn,T.15.A,T,15,A,30.288705,55.3
tacapa,B02,CmACS,Unkn,T.30.B,T,30,B,30.893587,55.3
tacapa,B03,CmACS,Unkn,T.M.C,T,M,C,27.965825,55.3
tacapa,B04,CmACO,Unkn,T.30.A,T,30,A,25.799551,55.3
tacapa,B05,CmACO,Unkn,T.M.B,T,M,B,25.117025,55.3
tacapa,B06,CmATH,Unkn,T.15.C,T,15,C,23.592183,55.3
tacapa,B07,CmATH,Unkn,T.M.A,T,M,A,26.475834,55.3
tacapa,B08,CmEREBP,Unkn,T.15.B,T,15,B,25.112208,55.3
tacapa,B09,CmEREBP,Unkn,T.30.C,T,30,C,26.03365,55.3
tacapa,B10,CmCYP,Unkn,T.15.A,T,15,A,22.381857,55.3
tacapa,B11,CmCYP,Unkn,T.30.B,T,30,B,24.063753,55.3
tacapa,B12,CmCYP,Unkn,T.M.C,T,M,C,22.851905,55.3
tacapa,C01,CmACS,Unkn,T.15.B,T,15,B,30.430071,55.3
tacapa,C02,CmACS,Unkn,T.30.C,T,30,C,30.913853,55.3
tacapa,C03,CmACO,Unkn,T.15.A,T,15,A,27.199468,55.3
tacapa,C04,CmACO,Unkn,T.30.B,T,30,B,27.069082,55.3
tacapa,C05,CmACO,Unkn,T.M.C,T,M,C,24.58593,55.3
tacapa,C06,CmATH,Unkn,T.30.A,T,30,A,27.584448,55.3
tacapa,C07,CmATH,Unkn,T.M.B,T,M,B,26.306802,55.3
tacapa,C08,CmEREBP,Unkn,T.15.C,T,15,C,25.109022,55.3
tacapa,C09,CmEREBP,Unkn,T.M.A,T,M,A,24.891149,55.3
tacapa,C10,CmCYP,Unkn,T.15.B,T,15,B,21.315822,55.3
tacapa,C11,CmCYP,Unkn,T.30.C,T,30,C,24.156749,55.3
tacapa,C12,CmACS,NTC,NA,NA,NA,NA,NA,55.3
tacapa,D01,CmACS,Unkn,T.15.B,T,15,B,30.523629,55.3
tacapa,D02,CmACS,Unkn,T.30.C,T,30,C,30.299898,55.3
tacapa,D03,CmACO,Unkn,T.15.A,T,15,A,27.090393,55.3
tacapa,D04,CmACO,Unkn,T.30.B,T,30,B,27.036653,55.3
tacapa,D05,CmACO,Unkn,T.M.C,T,M,C,24.240285,55.3
tacapa,D06,CmATH,Unkn,T.30.A,T,30,A,27.78248,55.3
tacapa,D07,CmATH,Unkn,T.M.B,T,M,B,26.238569,55.3
tacapa,D08,CmEREBP,Unkn,T.15.C,T,15,C,24.929646,55.3
tacapa,D09,CmEREBP,Unkn,T.M.A,T,M,A,24.885771,55.3
tacapa,D10,CmCYP,Unkn,T.15.B,T,15,B,21.415004,55.3
tacapa,D11,CmCYP,Unkn,T.30.C,T,30,C,24.014008,55.3
tacapa,D12,CmACO,NTC,NA,NA,NA,NA,NA,55.3
tacapa,E01,CmACS,Unkn,T.15.C,T,15,C,30.914686,55.3
tacapa,E02,CmACS,Unkn,T.M.A,T,M,A,30.626771,55.3
tacapa,E03,CmACO,Unkn,T.15.B,T,15,B,24.487918,55.3
tacapa,E04,CmACO,Unkn,T.30.C,T,30,C,28.19478,55.3
tacapa,E05,CmATH,Unkn,T.15.A,T,15,A,30.184665,55.3
tacapa,E06,CmATH,Unkn,T.30.B,T,30,B,28.033356,55.3
tacapa,E07,CmATH,Unkn,T.M.C,T,M,C,25.903132,55.3
tacapa,E08,CmEREBP,Unkn,T.30.A,T,30,A,24.686703,55.3
tacapa,E09,CmEREBP,Unkn,T.M.B,T,M,B,22.843764,55.3
tacapa,E10,CmCYP,Unkn,T.15.C,T,15,C,21.241014,55.3
tacapa,E11,CmCYP,Unkn,T.M.A,T,M,A,23.992321,55.3
tacapa,E12,CmATH,NTC,NA,NA,NA,NA,NA,55.3
tacapa,F01,CmACS,Unkn,T.15.C,T,15,C,31.028639,55.3
tacapa,F02,CmACS,Unkn,T.M.A,T,M,A,30.601364,55.3
tacapa,F03,CmACO,Unkn,T.15.B,T,15,B,24.525684,55.3
tacapa,F04,CmACO,Unkn,T.30.C,T,30,C,28.145987,55.3
tacapa,F05,CmATH,Unkn,T.15.A,T,15,A,30.285801,55.3
tacapa,F06,CmATH,Unkn,T.30.B,T,30,B,28.128798,55.3
tacapa,F07,CmATH,Unkn,T.M.C,T,M,C,25.903154,55.3
tacapa,F08,CmEREBP,Unkn,T.30.A,T,30,A,24.614285,55.3
tacapa,F09,CmEREBP,Unkn,T.M.B,T,M,B,22.789369,55.3
tacapa,F10,CmCYP,Unkn,T.15.C,T,15,C,21.302989,55.3
tacapa,F11,CmCYP,Unkn,T.M.A,T,M,A,24.170665,55.3
tacapa,F12,CmEREBP,NTC,NA,NA,NA,NA,NA,55.3
tacapa,G01,CmACS,Unkn,T.30.A,T,30,A,30.284619,55.3
tacapa,G02,CmACS,Unkn,T.M.B,T,M,B,30.203396,55.3
tacapa,G03,CmACO,Unkn,T.15.C,T,15,C,24.490775,55.3
tacapa,G04,CmACO,Unkn,T.M.A,T,M,A,27.602391,55.3
tacapa,G05,CmATH,Unkn,T.15.B,T,15,B,23.670166,55.3
tacapa,G06,CmATH,Unkn,T.30.C,T,30,C,27.388337,55.3
tacapa,G07,CmEREBP,Unkn,T.15.A,T,15,A,24.839857,55.3
tacapa,G08,CmEREBP,Unkn,T.30.B,T,30,B,25.010709,55.3
tacapa,G09,CmEREBP,Unkn,T.M.C,T,M,C,24.394219,55.3
tacapa,G10,CmCYP,Unkn,T.30.A,T,30,A,23.517205,55.3
tacapa,G11,CmCYP,Unkn,T.M.B,T,M,B,23.243158,55.3
tacapa,G12,CmCYP,NTC,NA,NA,NA,NA,NA,55.3
tacapa,H01,CmACS,Unkn,T.30.A,T,30,A,30.284619,55.3
tacapa,H02,CmACS,Unkn,T.M.B,T,M,B,30.682669,55.3
tacapa,H03,CmACO,Unkn,T.15.C,T,15,C,24.459524,55.3
tacapa,H04,CmACO,Unkn,T.M.A,T,M,A,27.710713,55.3
tacapa,H05,CmATH,Unkn,T.15.B,T,15,B,23.9494,55.3
tacapa,H06,CmATH,Unkn,T.30.C,T,30,C,27.303082,55.3
tacapa,H07,CmEREBP,Unkn,T.15.A,T,15,A,24.701806,55.3
tacapa,H08,CmEREBP,Unkn,T.30.B,T,30,B,24.883185,55.3
tacapa,H09,CmEREBP,Unkn,T.M.C,T,M,C,24.667975,55.3
tacapa,H10,CmCYP,Unkn,T.30.A,T,30,A,23.672661,55.3
tacapa,H11,CmCYP,Unkn,T.M.B,T,M,B,23.186881,55.3
tacapa,H12,CmCYP,NTC,NA,NA,NA,NA,NA,55.3
tacapa,NA,NA,NA,NA,NA,NA,NA,NA,NA
